;;;;;;
;Категория;Название;Артикул;Описание;Количество;Цена
;АС фронтальная;Klipsch;Klipsch RP-280F;3-х полосная конструкция Klipsch R-28F позволяет получить практически идеально ровное и безупречно согласованное звучание во всем слышимом диапазоне, но особенно красиво оно в области рабочих частот фирменного рупора, который выполнен монолитно с передней панелью корпуса из специального композитного материала, поглощающего нежелательные вибрации и резонансы.;;
;;;;;;
;АС фронтальная;Klipsch;Klipsch  RP-260F;;;
;;;;;;
;АС фронтальная;Klipsch;Klipsch RP-250F;;;
;;;;;;
;Полочная;Klipsch;Klipsch RP-160M;;;
;;;;;;
;Полочная;Klipsch;Klipsch RP-150M;;;
;;;;;;
;АС центрального канала;Klipsch;Klipsch RP-450C;;;
;;;;;;
;АС центрального канала;Klipsch;Klipsch RP-440C;;;
;;;;;;
;АС центрального канала;Klipsch;Klipsch RP-250C;;;
;;;;;;
;АС тыловая;Klipsch;Klipsch RP-250S;;;
;;;;;;
;АС тыловая;Klipsch;Klipsch RP-240S;;;
