;;;;;;;
;Категория;Название;Артикул;Описание;Краткое описание;Количество;Цена
;АС фронтальная;Акустика Klipsch RP-280F;RP-280F;Напольная модель Reference Premiere RP-280F является самой крупной из “семейства» Reference Premiere. Она обеспечивает объёмное звучание благодаря двум низкочастотным динамикам Cerametallic™ диаметром 20 см и рупорному преобразователю Hybrid Tractrix®. Прилагая минимальные усилия пара способна заполнить звуком театрального качества большое помещение и полностью погрузить вас в происходящие на экране события.;;10;
;;;;;;;
;АС фронтальная;Акустика Klipsch RP-260F;RP-260F;,Модель Reference Premiere RP-260F где усовершенствованный рупор Tractrix состоит из горловины круглой формы и квадратного раструба,, что позволяет расширить высокочастотный спектр и улучшить качество передачи звучания. При этом усиливается также прорисовка образов и динамический диапазон.,;;10;
;;;;;;;
;АС фронтальная;Акустика Klipsch RP-250F;RP-250F;Акустическая система Reference Premiere RP-250F является самой компактной напольной акустической системой серии Reference Premiere. Она способна заполнить качественным звуком помещение средних размеров и при этом не занимает много места.;;10;
;;;;;;;
;Полочная;Акустика Klipsch RP-160M;RP-160M;,Акустика Klipsch RP-160M оснащен низкочастотным динамиком Cerametallic™ и гибридным рупором Tractrix,,® что обеспечивает несравнимое качество звучания.,;;10;
;;;;;;;
;Полочная;Акустика Klipsch RP-150M;RP-150M;,Компактные АС мониторного класса Reference Premiere RP-150M,, которые способны перевернуть представления о том,, как может звучать подобная акустика. Детальный,, мощный и эмоциональный звук в лучших традициях компании Klipsch от колонок,, для которых легко найдется место в любой гостиной. ,;;10;
;;;;;;;
;АС центрального канала;Акустика Klipsch RP-450C;RP-450C;,Усовершенствованный рупор Tractrix состоит из горловины круглой формы и квадратного раструба,, что позволяет расширить высокочастотный спектр и улучшить качество передачи звучания. При этом усиливается также прорисовка образов и динамический диапазон. ,;;10;
;;;;;;;
;АС центрального канала;Акустика Klipsch RP-440C;RP-440C;,Усовершенствованный рупор Tractrix состоит из горловины круглой формы и квадратного раструба,, что позволяет расширить высокочастотный спектр и улучшить качество передачи звучания. При этом усиливается также прорисовка образов и динамический диапазон. ,;;10;
;;;;;;;
;АС центрального канала;Акустика Klipsch RP-250C;RP-250C;Система центрального канала Reference Premiere RP-250C является благодаря конструкции отличным вариантом для воспроизведения объёмного и качественного звучания. Два низкочастотных динамика Cerametallic™ диаметром 10.2 см и гибридный рупор Tractrix® излучают живое звучание фронтальной секции комплекта.;;10;
;;;;;;;
;АС тыловая;Акустика Klipsch RP-250S;RP-250S;;;10;
;;;;;;;
;АС тыловая;Акустика Klipsch RP-240S;RP-240S;;;10;
;;;;;;;
;DA фронтальная;Акустика Klipsch RP-280FA;RP-280FA;;;10;
;;;;;;;
;DA полочная;Акустика Klipsch RP­140SA;RP­140SA;;;10;
;;;;;;;
;DA сабвуфер;Акустика Klipsch RP-450CA;RP-450CA;;;10;
;;;;;;;
;Сабвуфер;Акустика Klipsch R-10SW;R-10SW;;;10;
