;;;;
Группа;Название;Артикул;Количество;Краткое описание
Напольная ;Напольная акустика KEF R 900 ;KEF  R 900;50;Напольная акустическая система KEF серии R 900
Напольная ;Напольная акустика KEF R 700 ;KEF  R 700;50;Напольная акустическая система KEF серии R 700
Напольная ;Напольная акустика KEF R 500 ;KEF  R 500;50;Напольная акустическая система KEF серии R 500
Полочная;Полочная акустика KEF R 300 ;KEF  R 300;50;Полочная акустическая система KEF серии R 300
Полочная;Полочная акустика KEF R 100 ;KEF  R 100;50;Полочная акустическая система KEF серии R 100
Дипольная акустика;Дипольная акустическая система KEF R 800DS;KEF  R 800DS;50;Дипольная акустическая система KEF серии R 800DS
АС центрального канала;АС центрального канала KEF R 600c;KEF  R 600c;50;АС центрального канала KEF серии R 600c
АС центрального канала;АС центрального канала KEF R 200c;KEF  R 200c;50;АС центрального канала  KEF серии R 200c
Сабвуфер;Сабвуфер KEF  R 400b;KEF  R 400b;50;Сабвуфер  KEF  серии R 400b
Напольная ;Напольная акустика KEF Reference 5 ; Reference 5 ;50; Напольная акустическая система KEF Reference 5 
Напольная ;Напольная акустика KEF Reference 3 ; Reference 3 ;50; Напольная акустическая система KEF Reference 3 
Полочная;Полочная акустика KEF Reference 1 ; Reference 1 ;50; Полочная акустическая система KEF Reference 1 
