                                                                                                                                                                                                                                                  
          Напольная                  Напольная акустика CM9 S2         B&W                  CM9 S2                50          Напольные колонки Bowers & Wilkins  серии CM9 S2     B&W CM9 S2 оборудованы ВЧ-динамиком с двойным купо         2990          2991
          Напольная                  Напольная акустика CM8 S2         B&W                  CM8 S2                50             Напольные колонки Bowers & Wilkins CM8 S2         Звук напольной АС из необычайно стройной колонки.          2190          2190
          Полочная                   Полочная акустика  CM6 S2         B&W                  CM6 S2                50             Полочная акустика Bowers & Wilkins CM6 S2         Акустическая система B&W CM6 S2 является самой кру         1790          1790
          Полочная                   Полочная акустика  CM5 S2         B&W                  CM5 S2                50             Полочная акустика Bowers & Wilkins CM5 S2         Полочная акустическая система B&W CM5 S2 представл         1390          1390
          Полочная                   Полочная акустика  CM1 S2         B&W                  CM1 S2                50             Полочная акустика Bowers & Wilkins CM1 S2         Компактные полочные колонки B&W CM1 S2 можно испол          980           980
          Акустические стойки           Стойки под акустику            B&W                 FS-CM S2               50           FS-CM S2 STAND стойки под акустические системы      Bowers & Wilkins FS-CM S2 Stand - cтойки предназна          499           499
          АС центрального канала  Центральная акустика CM Centre       B&W               CM Centre S2             50     Колонка центрального канала Bowers & Wilkins CM Centre S2 Акустическая система B&W CM Centre S2 предназначен          599           599
                 Сабвуфер              Сабвуфер ASW 10 CM S2           B&W               ASW 10 CM S2             50           Активный сабвуфер Bowers & Wilkins ASW10CM S2       Активный сабвуфер ASW10CM S2 относится к хорошо из         1599          1599
          Центральная АС          Акустическая система B&W HTM 61      B&W                HTM 61 S2               50     Акустическая система B&W HTM 61 S2                        У HTM61 S2 твитер с двухслойным куполом и механиче          990           990
          Центральная АС          Акустическая система HTM 62 S2       B&W                HTM 62 S2               50     Акустическая система B&W HTM 62 S2                        Как и ее старшая сестра HTM61 S2, HTM62 S2 оснащен          590           590
          Дипольная акустика      Дипольная система DS 3               B&W                   DS 3                 50     Дипольная система                                         DS3 – это колонка звукового окружения, устанавлива          799           799
          Сабвуфер                сабвуфер  ASW 610XP                  B&W                ASW 610XP               50     B&W ASW610XP мощная модель среди активных сабвуферов      B&W ASW610XP – старшая и самая мощная модель среди         1399          1399
          Сабвуфер                Сабвуфер ASW 610                     B&W                 ASW 610                50     Сабвуфер ASW610                                           Сабвуфер ASW610 представляет золотую середину межд         1033          1033
          Сабвуфер                Сабвуфер ASW 608                     B&W                 ASW 608                50     Для прекрасного звучания в небольших помещениях           Длинный 200 мм громкоговоритель позволяет ASW608 п          499           499
