,,,,,,,,,
,Напольная ,Напольная акустика CM9 S2,B&W,CM9 S2,50,Напольные колонки Bowers & Wilkins  серии CM9 S2,"B&W CM9 S2 оборудованы ВЧ-динамиком с двойным куполом Double Dome, в котором для повышения жесткости и гашения резонансов основной мембраны используется дополнительное алюминиевое кольцо. Твитер нагружен на суживающуюся трубку Nautilus, которая гасит обратные звуковые волны и делает звучание на ВЧ прозрачным и детализированным. Среднечастотный динамик оснащен диффузором диаметром 150 мм из тканного кевлара, имеющим FST-крепление к корзине (без подвеса). Ниже СЧ-динамика на передней панели расположены два басовика с бумажно-кевларовыми диффузорами диаметром 165 мм. Колонки обеспечивают воспроизведение низких частот в помещении, начиная со значения 46 Гц (по уровню - 3 дБ), что является очень хорошим показателем для АС таких размеров. B&W CM9 S2 оборудованы разделительным фильтром на компонентах аудиофильского класса и имеют двойные входные винтовые клеммы для подключения по схемам b-wiring или bi-amping. Для повышения устойчивости колонок они смонтированы на массивных опорных плитах. Напольные акустические системы B&W CM9 S2 оснащены увеличенными по сравнению с младшей моделью басовым динамиками и способны полноценно озвучить довольно большое помещение. Эти колонки также имеют трехполосную конфигурацию и оборудованы фирменным фазоинвертором Flowport с выходным отверстием на задней панели. Это обстоятельство необходимо учитывать при размещении АС в комнате, оставив необходимое расстояние до стены для их нормальной работы. В крайнем случае, в канале фазоинвертора можно разместить поставляемую в комплекте с АС заглушку из пористого материала, уменьшив его отдачу. Как и вся акустика серии, B&W CM9 S2 отличаются очень высоким качеством изготовления и отделки, при этом данные АС великолепно смотрятся со снятыми защитными сетками, что не так часто встречается в Hi-Fi-акустике. 
В каждой АС серии CM теперь установлен твитер с двойным куполом и механической развязкой. А топовая модель CM10 S2 и  CM6 S2 имеют конструкцию с твитером наверху – такую же, как у референсных АС Серии 800 Diamond. Подобная изоляция твитера улучшает звуковой образ и ",2990,2991
,Напольная ,Напольная акустика CM8 S2,B&W,CM8 S2,50,Напольные колонки Bowers & Wilkins CM8 S2,"Звук напольной АС из необычайно стройной колонки. CM8 S2 легко впишется в любую комнату и выдаст мощный и точный звук из трех драйверов с кевларовыми диффузорами и твитера с двойным куполом. Напольные акустические системы B&W CM8 S2 имеют сравнительно небольшие размеры и узкую переднюю панель, благодаря чему хорошо вписываются в любой жилой интерьер. Изящный облик колонки обеспечивает алюминиевая окантовка динамиков, скрывающая их монтажные элементы, а также магнитная фиксация защитных сеток. B&W CM8 S2 имеют трехполосную конфигурацию, благодаря чему обладают нейтральным и артикулированным среднечастотным диапазоном. Высокочастотная головка выполнена по запатентованной конструкции Double Dome и оснащена комбинированной диафрагмой с дополнительным алюминиевым кольцом, увеличивающим ее жесткость. Подобный твитер обладает расширенным диапазоном воспроизводимых частот по сравнению с традиционным, а также обеспечивает высокую детальность звука. Пищалка нагружена на суживающуюся трубку Nautilus - еще одно фирменное решение B&W, позволяющее минимизировать уровень искажений на высоких частотах. Среднечастотный динамик в B&W CM8 S2 оснащен кевларовым диффузором FST диаметром 130 мм, который не имеет привычного подвеса - его роль играет кольцевой изгиб по периметру, в месте стыковки диффузора с корзиной. Благодаря этому звучание на СЧ получается нейтральным и детализированным, с точной передачей вокала, а также живых музыкальных инструментов. Два басовых динамика в колонках также имеют диаметр 130 мм, однако их черные диффузоры (в отличие от ярко-желтой мембраны среднечастотника) изготовлены из усиленной кевларом бумаги. Басовики нагружены на фазоинвертор Flowport, выходное отверстие которого выведено на заднюю панель. Точный расчет конструкции корпуса колонки и его согласование с НЧ-динамиками позволило обеспечить воспроизведение басов со значения в 48 Гц (по уровню - 3 дБ). Колонки оснащен разделительным фильтром, изготовленным с использованием компонентов аудиофильского класса и обладающим минимальными фазочастотными искажениями. Благодаря насыщенному и динамичному звуку, а также отличной стереообразности B&W CM8 S2 можно использовать как в составе двухканальных комплектов, ",2190,2190
,Полочная,Полочная акустика  CM6 S2,B&W,CM6 S2,50,Полочная акустика Bowers & Wilkins CM6 S2,"Акустическая система B&W CM6 S2 является самой крупной полочной моделью в своей серии и способна качественно озвучить помещение средних размеров. Колонки изготовлены в корпусе с глубоким внутренним демпфированием, который может иметь отделку черным рояльным лаком, белым матовым покрытием или фанеровку натуральным розовым деревом. Особенностью конструкции B&W CM6 S2, по сравнению с другими полочными АС серии, является установленный в отдельном блоке твиттер. Закрепленный на верхней панели колонки, ВЧ-излучатель полностью защищен от воздействий со стороны басового динамика, ориентированных на воспроизведение музыки, так и в домашнем кинотеатре высокого класса. Позволило существенно повысить качество его звучания. Цилиндрическая камера, на которую нагружена пищалка, суживается к тыльной стороне корпуса, благодаря чему устраняются нежелательные резонансы и эффективно гасятся обратные звуковые волны. Высокочастотный динамик в колонке имеет запатентованную конструкцию Double Dome и оснащен дополнительным алюминиевым кольцом позади основной диафрагмы, которая повышает ее жесткость, и устраняет паразитные окрашивания звука. Благодаря этому звучания B&W CM6 S2 на ВЧ приобрело дополнительную прозрачность и детальность. Низкочастотный динамик в CM6 S2имеет диаметр 165 мм, а его диффузор изготовлен из тканного кевлара -фирменного материала компании B&W, обладающего целым рядом звуковых достоинств. Низкочастотник нагружен на запатентованный фазоинвертор Flowport, выходное отверстие которого выведено на заднюю панель. Монтаж басовика на передней панели выполнен таким образом, чтобы скрыть фиксирующие винты, благодаря чему колонка очень хорошо смотрится со снятой защитной сеткой. Последняя имеет невидимые магнитные держатели, что также улучшает внешний вид акустической системы. Колонки оснащены разделительным фильтром, выполненным из отборных компонентов аудиофильского качества. Для подсоединения к усилителю служит две пары винтовых клемм. B&W CM6 S2 рекомендуется размещать на специализированных напольных подставках, способных обеспечить оптимальную механическую развязку и наилучшее качество басов.",1790,1790
,Полочная,Полочная акустика  CM5 S2,B&W,CM5 S2,50,Полочная акустика Bowers & Wilkins CM5 S2,"Полочная акустическая система B&W CM5 S2 представляет собой среднюю модель (из трех) данного класса в серии. Она меньше по размерам, чем старшая CM6, однако за счет использования более крупного басовика обеспечивает более глубокие НЧ, чем ""пятерки"". Конструктивные особенности B&W CM5 S2 такие же, как и у других АС этой обновленной линейки. Колонка изготовлена в корпусе из толстого ДВП с глубоким внутренним демпфированием, имеющим очень качественную внешнюю отделку. Металлическая окантовка динамиков, скрывающая крепежные элементы, а также собственная защитная акустически прозрачная сетка твитера обеспечивают колонкам весьма привлекательный внешний вид со снятыми грилями. Последние имеют невидимые магнитные фиксаторы. В акустической системе установлен басовый динамик диаметром 165 мм с тканным кевларовым диффузором ярко-желтого цвета, смонтированным на широком эластичном подвесе. Басовик оснащен антирезонансной корзиной и нагружен на фирменный фазоинвертор Flowport с выходным отверстием на задней панели. Высокочастотный динамик в колонке имеет комбинированный купол Decoupled Double Dome выполненный из алюминия, и оснащенный дополнительным кольцом для повышения жесткости и улучшения детализации звука. Такой твитер обладает расширенным диапазоном рабочих частот (до 28 кГц по уровню - 3 дБ), что позволяет в полной мере реализовать качество звучания музыкальных композиций, записанных в HD-форматах. Пищалка нагружена на трубку Nautilus. Динамики подключены к простому разделительному фильтру, выполненному из компонентов аудиофильского класса (конденсаторы Mundorf) с помощью заказных кабелей. Для подсоединения к усилителю предназначены две пары винтовых клемм. Как и любые полочные колонки высокого класса, B&W CM5 S2 заметно прибавляют в качестве звучания при размещении на специализированных стойках с хорошей виброразвязкой. Эти колонки можно использовать как в стереосистемах, так и в домашнем канале, где они могут взять на себя озвучивание фронтальных стерео, тыловых, или всех каналов многоканального комплекта.",1390,1390
,Полочная,Полочная акустика  CM1 S2,B&W,CM1 S2,50,Полочная акустика Bowers & Wilkins CM1 S2,"Компактные полочные колонки B&W CM1 S2 можно использовать для озвучивания небольших помещений в составе кабинетных аудиосистем. Также эти АС отлично подойдут для тыловых каналов современного домашнего кинотеатра, например, построенного на базе других моделей данной линейку B&W. Колонки изготовлены в корпусах с качественной внешней отделкой и смотрятся как монолитные, без видимых стыков между панелями. Динамики имеют металлическую окантовку, которая скрывает их крепежные элементы и делает внешний вид весьма элегантным. Магнитные фиксаторы защитной сетки обеспечивают отсутствие на передней панели дополнительных конструктивных элементов, благодаря чему B&W CM1 S2 очень хорошо смотрятся со снятыми грилями. Пищалка закрыта собственной защитной сеточкой, снять которую можно только с помощью входящего в комплект специального приспособления. Акустические системы оснащены низкочастотным динамиком с 130-мм диффузором из тканного кевлара - жесткого и легкого материала, который благодаря плетеной структуре практически лишен собственных резонансов. Диффузор закреплен на широком эластичном подвесе, обеспечивающим его линейное перемещение с большой амплитудой. Басовик нагружен на фирменный фазоинвертор Flowport, выходное отверстие которого выведено на заднюю панель. При желании его можно закрыть с помощью входящих в комплект заглушек. ВЧ-головка в колонках выполнена по технологии Decoupled Double Dome и оснащена комбинированной алюминиевой мембраной с дополнительным кольцом для повышения жесткости и выравнивания фазо-частотных характеристик. Твитер нагружен на трубку Nautilus работает в диапазоне частот до 28 кГц (по уровню -3 дБ), что позволяет полнее реализовать потенциал качества записи музыки в новых HD-форматах.",980,980
,Акустические стойки,Стойки под акустику,B&W,FS-CM S2,50,FS-CM S2 STAND стойки под акустические системы,"Bowers & Wilkins FS-CM S2 Stand - cтойки предназначены для акустики CM5, CM1, CM6, что позволяет значительно улучшить звучание не только этих полочных акустических систем, но и любой акустики соответствующего размера.",499,499
,АС центрального канала ,Центральная акустика CM Centre S2,B&W,CM Centre S2,50,Колонка центрального канала Bowers & Wilkins CM Centre S2,"Акустическая система B&W CM Centre S2 предназначена для работы в центральном канале высококлассного домашнего кинотеатра. Колонка имеет двухполосную конфигурацию, что позволило выполнить ее в сравнительно компактном корпусе, удобном для размещения в жилом интерьере. B&W CM Centre S2 оснащены пищалкой с алюминиевым куполом диаметром 25 мм, который имеет фирменное акустическое оформление Nautilus. Оно представляет собой суживающуюся трубку, которая эффективно отводит и гасит звуковые колебания от обратной стороны купола твитера, значительно повышая детализацию на ВЧ и минимизируя уровень искажений. В низкочастотной секции акустической системы B&W CM Centre S2 используются два басовика с тканными кевларовыми диффузорами диметром 6,5 дюйма, нагруженные на запатентованный фазоинвертор Flowport. Последний характеризуется очень низким уровнем акустических шумов, вызываемых проходящим по выходной трубе потоком воздуха. Благодаря использованию пары басовиков нижняя рабочая частота колонки получилась достаточно низкой для уверенного воспроизведения самых энергичных звуковых эффектов современных кинофильмов. Динамики подключены к разделительному фильтру, выполненному из отборных компонентов, а для внутренней проводки используется заказной кабель с проводником из бескислородной меди высокой степени очистки. Частота настройки фильтра на 4 кГц позволила получить гладкий среднечастотный диапазон, что является очень важным для точной передачи вокала. Корпус данной модели крупнее, чем у колонки CM, что обусловлено необходимостью создания большего внутреннего объема для нормальной работы басовиков. Корпус имеет глубокое внутреннее демпфирование и усилен специально рассчитанными стяжками. Внешняя отделка B&W CM Centre S2 может быть нескольких видов, в том числе выполнена черным рояльным лаком или шпоном натурального дерева (Rosenut). Защитная сетка на передней панели имеет магнитную фиксацию, а динамики украшают серебристая металлическая окантовка, которая придает колонкам весьма изысканный внешний вид.",599,599
,Сабвуфер ,Сабвуфер ASW 10 CM S2,B&W,ASW 10 CM S2,50,Активный сабвуфер Bowers & Wilkins ASW10CM S2,"Активный сабвуфер ASW10CM S2 относится к хорошо известной фирменной серии акустических систем CM. Данную универсальную модель можно использовать как для построения домашнего кинотеатра, так и для работы в составе обычной стереосистемы. Сабвуфер отличается элегантным внешним видом и превосходной отделкой. Изысканный эстетичный дизайн позволяет ему гармонично дополнить любой современный интерьер. Закрытый кубический корпус ASW 10CM S2 отличается надежным демпфированием. Длинноходный 250-миллиметровый вуфер встроен в лицевую часть модели. Диффузор динамика выполнен из бумаги и кевлара, что обеспечивает ему необходимую жесткость и прочность. Используется мощный подвес, литое шасси и 76 мм звуковая катушка. Вуфер окружен аккуратной металлической рамкой, а для его защиты служит сетчатый гриль, который крепится к корпусу с помощью магнитов. Модель оснащена 500-ваттным усилителем, работающим в классе D. В тыльной части кабинета находятся следующие входы: линейный на двух разъемах RCA и высокоуровневый, представленный четырьмя винтовыми клеммами. Есть 3,5 мм триггерный вход для активации сабвуфера дистанционно. Имеются регуляторы уровня сигнала на линейном и высокоуровневом входе, ручка выбора частоты среза фильтра НЧ (LPF) и выключатель фильтра, работающий только при подсоединении по низкоуровневому линейному входу. Присутствует селектор режимов Bass Extension для повышения глубины баса (позиции A, B и C), переключатель частотной коррекции EQ (2 позиции) и переключатель фазы (0 – 180°). Имеется «ползунок» для активации сабвуфера (On) и его перевода в режимы Standby или Auto. Рядом расположен индикатор, который светится зеленым при включенном сабвуфере и красным при его переходе в состояние «сна». В режиме Auto модель активируется автоматически сразу при поступлении сигнала на ее вход и переходит в «спящее» состояние по истечении 30 минут в случае отсутствия сигнала. Корпус устанавливается на комплектные резиновые опоры или шипы. Сабвуфер ASW10CM S2 воспроизводит точный, мощный, быстрый и глубокий бас с хорошим «ударом», который позволяет в полной мере насладиться звуковыми эффектами в домашнем кинотеатре, а также обеспечивает качественную поддержку АС в стереосистеме.",1599,1599
,Центральная АС,Акустическая система B&W HTM 61 S2,B&W,HTM 61 S2,50,Акустическая система B&W HTM 61 S2 ,"У HTM61 S2 твитер с двухслойным куполом и механической развязкой, идеальный для обеспечения разбочивости диалогов. Двойной купол улучшает жесткость, не увеличивая вес – для более точного отклика, а виброизоляция твитера от корпуса устраняет влияние резонансов. Результат – абсолютно ясное звучание.

Используя технологии, разработанные для напольных АС Серии 600, HTM61 S2 оснащена парой 6.5-дюймовых динамиков с алюминиевыми диффузорами – для точности и собранности басов.

Ниже твитера и между двумя 6.5-дюймовыми НЧ-драйверами расположен FST среднечастотник. Два порта Flowport размещены сзади. Совместно они выдают звук потрясающей ясности во всем диапазоне частот, а новая симметричная конструкция АС улучшает интеграцию полос и дисперсию звука. Результат – серьезная центральная АС – превосходная для кино на большом экране.",990,990
,Центральная АС,Акустическая система HTM 62 S2,B&W,HTM 62 S2,50,Акустическая система B&W HTM 62 S2,"Как и ее старшая сестра HTM61 S2, HTM62 S2 оснащена твитером с двухслойным куполом и механической развязкой, идеальным для обеспечения разборчивости диалогов. Двойной купол обеспечивает более точный отклик, а виброизоляция твитера от корпуса устраняет влияние резонансов. Результат – абсолютно ясное звучание.

HTM62 S2 оснащена парой 5-дюймовых динамиков с кевларовыми диффузорами – для точности и собранности басов. Вместе с твитером с двухслойным куполом и механической развязкой эта центральная АС звучит просто поразительно.

Ясность и мощь HTM62 достигается не за счет солидных размеров. Более компактная, чем HTM61, она на своем месте в любом комплекте. Подобно HTM62 ее можно устанавливать горизонтально или вертикально, в зависимости от пространства.",590,590
