;;;;;;;;;
;Напольная ;Напольная система 802 D3;B&W;802 D3;50;Напольна система премум класса Bowers & Wilkins 802 D3;,802 D3 выдает подлинное звучание высокого качества в любой обстановке. Алмазный твитер и диффузор СЧ-динамика Continuum обеспечивают звук настолько естественный,, что вы потеряете дар речи. B&W 802 D3 воспроизводит захватывающее дух звучание во всем слышимом диапазоне. Алмазный твитер и диффузор Continuum обеспечивают поразительную проникновенность,, а драйвер Aerofoil выдает потрясающей глубины бас. Диффузор Continuum обеспечивает подлинные средние частоты,, эффективно устраняя резонансы,, которые могут отрицательно повлиять на этот важный участок спектра.,;21 450;21 450
;Напольная ;Напольная система 803 D3;B&W;803 D3;50;Напольна система премум класса Bowers & Wilkins 803 D3;,03 D3 – абсолютно новая АС. Это самая компактная модель с отдельной «головой»,, когда-либо выпущенная Bowers & Wilkins,, которая обладает множеством достоинств старших сестер,, но при дружественных к комнатам размерах. B&W 803 D3 – элегантная напольная акустическая система,, выдающая исключительно естественное и точное звучание,, благодаря комбинации алмазного твитера,, СЧ-динамика Continuum,, басового драйвера Aerofoil и более компактной «СЧ-головы».Поразительный звук,, компактная форма.,;13900;13900
;Напольная ;Напольная система 804 D3;B&W;804 D3;50;Напольна система премум класса Bowers & Wilkins 804 D3;,
B&W 804 D3 выдает невероятно высокое качество звука для традиционной АС компактных размеров. Bowers & Wilkins 804 D3 выглядят традиционно,, но оснащены новейшими технологиями. В их сверхпрочном корпусе - алмазный твитер,, СЧ-динамик Continuum и басовые драйверы Aerofoil. Вместе они создают чрезвычайно детальный звук,, заполняющий всю комнату.

B&W 804 D3 выдает невероятно высокое качество звука для традиционной АС компактных размеров. Bowers & Wilkins 804 D3 выглядят традиционно,, но оснащены новейшими технологиями. В их сверхпрочном корпусе - алмазный твитер,, СЧ-динамик Continuum и басовые драйверы Aerofoil. Вместе они создают чрезвычайно детальный звук,, заполняющий всю комнату.
,;10700;10700
;Полочная;Полочная акустика 805 Diamond;B&W;805 Diamond Edition;50;Акустика премиум класса B&W серии 805 Diamond Edition;,Полочная акустика серии 805 Diamond – подлинная революция в конструировании АС: первая колонка такого размера и по такой цене,, оснащенная алмазным твитером. Потому что студийного качества звука достойны не только студии.,;6779;6779
;Полочная;Полочная акустика 805 Maserati ;B&W;805 Maserati Edition;50;Акустика премиум класса B&W серии 805  Maserati Edition;,АС 805 Maserati Edition оснащена твитером из синтетического алмаза. Благодаря уникальной комбинации легкости и экстремальной жесткости этот материал лучше всего подходит для воспроизведения высоких частот. Твитеры с алмазным куполом долгое время считались эксклюзивной роскошью в мире аудио – улучшением,, зарезервированным только для дорогих,, студийных АС. Но теперь 805 Diamond – подлинная революция в конструировании АС: первая колонка такого размера и по такой цене,, оснащенная алмазным твитером. Потому что студийного качества звука достойны не только студии. АС 805 Maserati Edition изготовлена из материалов,, отражающих дух партнерства: изысканного натурального шпона с узором «птичий глаз» и черной кожи Maserati – как в роскошных салонах машин бренда,, а подставка,, как неотъемлемая часть 805 Maserati Edition,, отделана в том же стиле и украшена трезубцем Maserati. Фирменный трезубец стал символом Maserati в 1926 году,, когда Mario Maserati создал его на основе статуи Нептуна в Болонье на площади Пьяцца Маджоре.,;6779;6779
;Полочная;Полочная акустика 805 D3;B&W;805 D3;50;Полочная акустика  B&W серии 805 D3;,Уникальная 805 D3 – единственная полочная АС в мире,, оснащенная такой студийной технологией,, как алмазный твитер. Она способна выдавать подлинное звучание из компактного корпуса,, что позволяет даже людям с малыми комнатами для прослушивания приобщиться к Настоящему Звуку.,;6000;6000
;Акустические стойки;Акустическая стойка FS-805 D3;B&W;FS-805 D3;50;Стойка FS-805 D3 для акустики B&W серии 805;,Подставка предназначена для акустической системы Bowers Wilkins 805. Через стойку проходит кабелепровод и она может заполняться песком для увеличения массы и улучшения демпфирования.  Размеры (Ш*В*Г) 25,,5*59,,5*36,,8 см. Вес 8 кг,;700;700
;АС центрального канала ;;B&W;HTM 1 D3;50;Центральный канал Bowers & Wilkins HTM1 D3;;;
